Number,ID,Type,Substrate Temp,Surface Temp,Ambient Temp,Canopy Closure,Rock Cover,Leaf Cover,Veg Cover,Fallen Log Cover,WSH,Cover Height,Dist. To Cover,Log Diameter,Dist. To Water,Depth,%Land,%Water,%Woody debris,%Floating Veg,%Bare soil,Group,SVL,TL,MASS,UTM_mE,UTM_mN,Dates,Time 
1,20.2,SNAKE,21,21,29,67.76,0,0,0,0,914.4,57,0,0,0,13,0,100,5,80,0,FEMALE,622,111,320,491105,4016277,5/7/2019,9:33:00
4,11.1,SNAKE,25,28,29,82.32,0,0,20,30,853.44,0,0,44,18,29,50,50,2,20,10,FEMALE,535,95,230,491228,4016289,5/8/2019,11:15:00
9,7.1,SNAKE,24,27,30,89.6,0,0,70,20,609.6,25,0,15.5,7,17,70,30,0,10,5,FEMALE,510,65,255,490999,4016312,6/1/2019,11:45:00
11,13.1,SNAKE,25,26.5,28,92.32,0,2,0,5,1066.8,20,0,14.5,27,51,80,20,25,15,70,FEMALE,555,90,355,491314,4016172,6/2/2019,9:20:00
15,13.2,SNAKE,25,28,29,89.6,0,30,2,0,365.76,60,0,0,15,26,80,20,80,15,0,FEMALE,570,105,340,491322,4016187,6/8/2019,9:45:00
27,5006 591E16,SNAKE,27,28,29,84.4,0,0,95,0,548.64,49,0,0,500,11,100,0,10,0,15,FEMALE,560,90,200,491135,4016287,6/29/2019,9:50:00
32,5033464D2F,SNAKE,26,28,25,81.1,0,0,15,40,1036.3,40,0,25,50,20,80,20,10,10,10,FEMALE,525,95,220,490999,4016495,7/18/2019,18:40:00
45,982 126054738963,SNAKE,22,20,21,89.6,0,0,40,0,944.88,19,93,0,0,5,50,50,0,0,50,FEMALE,615,105,240,491097,4016349,8/28/2019,8:12:00
48,982 126054738987,SNAKE,21,21,19,84.4,0,0,50,30,1249.68,12,72,14,0,17,0,100,40,30,0,FEMALE,570,105,314,492770,4015691,8/30/2019,7:55:00
50,forgot to,SNAKE,20,20,25,72.12,0,5,100,0,1280.16,73,0,0,0,17,0,100,0,50,0,FEMALE,685,110,410,492708,4015697,8/31/2019,8:50:00
55,982 126054738898,SNAKE,21,20,20,58.4,0,0,50,0,1524,50,57,0,0,22,0,100,10,70,0,FEMALE,680,105,290,492697,4015708,9/14/2019,8:30:00
56,982 126054738920,SNAKE,20,19,18,67.76,0,0,70,35,1371.6,120,70,8,0,10,0,100,0,20,0,FEMALE,615,110,265,492713,4015710,9/15/2019,7:24:00
60,982 126054738918,SNAKE,20,20,20,0,0,0,100,0,0,70,0,0,0,8,0,100,0,0,0,FEMALE,690,105,463,492541,4015785,9/22/2019,8:50:00
61,503342193E,SNAKE,18,17,14,100,0,10,0,0,0,28,110,0,0,8,20,80,0,0,20,FEMALE,670,95,244,490957,4016493,10/5/2019,8:46:00
62,982 126054738910,SNAKE,16,16,15,82.32,0,0,45,0,457.2,95,0,0,0,24,45,55,0,0,15,FEMALE,555,95,211,490970,4016457,10/5/2019,9:27:00
66,985 120013202430,SNAKE,19,20.5,20,92,0,2,30,0,0,3.5,0,3.5,0,29,50,50,10,0,15,FEMALE,640,78,322,491243,4016447,5/22/2012,11:00:00
69,985 120013202430,SNAKE,19,19,20,90,0,0,10,40,0,27,0,30,530,0,100,0,40,10,50,FEMALE,640,180,322,491243,4016447,5/22/2012,14:15:00
73,985 121019071276,SNAKE,26,25,24.5,67,0,0,10,20,0,11,0,11,0,17.2,0,100,20,10,0,FEMALE,720,112,369,491181,4016310,5/26/2012,20:30:00
76,985 120018535108,SNAKE,29,29.5,25,69,0,0,10,0,470,46,0,45,0,22,80,20,0,0,20,FEMALE,646,48,327,491395,4016335,5/31/2012,13:05:00
78,985 120018390005,SNAKE,29.5,29.5,31,61,0,0,5,35,550,10,0,18,0,9,80,20,30,0,10,FEMALE,620,107,331,491474,4016333,6/3/2012,12:15:00
82,985 121019060720,SNAKE,21,22,24,15,0,0,30,30,0,18,0,21,0,34,10,90,0,60,0,FEMALE,597,101,252,491352,4016240,6/7/2012,11:10:00
90,985 121019050167,SNAKE,29.5,29.5,31,84,0,0,0,20,0,99,0,99,430,0,100,0,10,0,90,FEMALE,600,105,295,491474,4016333,6/25/2012,11:00:00
103,985 120018943124,SNAKE,24,24,26,12,0,0,10,0,600,150,0,20,0,3,30,70,70,0,0,FEMALE,720,111,615,491192,4016371,7/22/2012,21:00:00
104,985 121019071276,SNAKE,24,24,26,38,0,0,70,10,600,35,40,20,50,10,80,20,5,0,0,FEMALE,729,121,365,491192,4016371,7/22/2012,21:15:00
109,985 121019051239,SNAKE,24,24,24,10,0,0,50,0,0,22,84,0,841,0,100,0,0,0,50,FEMALE,629,106,99,491371,4016044,8/24/2012,16:02:00
111,985 121019114761,SNAKE,25,25,24,97,0,80,0,0,0,13.5,206,14.5,800,0,100,0,0,0,20,FEMALE,712,136,470,491513,4016324,10/3/2012,14:30:00
112,985 121019115527,SNAKE,19,19,16,3,0,0,100,0,100,16,0,0,0,9,20,80,0,0,0,FEMALE,514,96,125,491306,4016231,10/3/2012,18:05:00
114,985 121019100111,SNAKE,23,23,22,30,0,0,0,10,0,8,35,10,0,7,5,95,0,0,5,FEMALE,595,91,265,491117,4016306,4/18/2013,18:30:00
115,985 121019080557,SNAKE,21,21,22,25,0,0,0,0,800,29,45,30,0,20,0,100,0,0,0,FEMALE,691,118,385,491143,4016284,4/18/2013,19:00:00
117,985 121019120773,SNAKE,17,27,26,12,0,0,0,30,0,20,0,21,0,27,0,70,0,20,0,FEMALE,600,118,285,491196,4016218,4/23/2013,12:15:00
119,985 121019121471,SNAKE,17,17,17,92,0,0,15,0,900,18,64,0,0,6,25,75,0,0,10,FEMALE,634,98,275,491053,4016402,4/25/2013,17:40:00
120,985 121019121475,SNAKE,16,16,16,93,0,40,20,0,0,7,34,0,31,5,90,10,0,0,10,FEMALE,568,93,210,491053,4016402,4/25/2013,18:10:00
121,985 121019115064,SNAKE,22,22,23,12,0,0,90,0,0,0,1000,0,0,8,0,100,0,0,0,FEMALE,659,115,370,491432,4016038,4/30/2013,17:45:00
123,985 121019274662,SNAKE,20,20,23,84,0,0,30,0,0,0,1000,0,0,12,0,100,0,0,0,FEMALE,624,111,325,491561,4015991,4/30/2013,18:50:00
124,985 121019101876,SNAKE,20,20,22,88,0,0,70,0,0,0,1000,0,0,16,0,100,0,0,0,FEMALE,604,103,265,491582,4015979,4/30/2013,19:10:00
125,985 120023741679,SNAKE,19,20,21,100,0,0,5,0,0,0,1000,0,0,19,0,100,0,0,0,FEMALE,632,110,302,491600,4015982,4/30/2013,19:35:00
126,985 120018527293,SNAKE,19,20,21,100,0,0,5,0,0,0,1000,0,0,25,0,100,0,0,0,FEMALE,572,121,292,491526,4016008,4/30/2013,19:55:00
130,5006E3074,SNAKE,21,21,27,2,0,0,5,0,0,0,1000,0,0,17,0,100,0,0,0,FEMALE,575,108,300,491429,4016042,5/9/2013,10:40:00
143,5006601800,SNAKE,25,30,27,3,0,0,10,80,0,41,0,38,68,0,100,0,0,0,10,FEMALE,694,108,595,491171,4016273,6/3/2013,15:30:00
151,x,GENERAL,35,35,29,71,0,90,1,9,0,25,0,25,1000,0,100,0,0,0,0,HABITAT,0,0,0,490874,4016729,8/12/2012,13:30:00
152,x,GENERAL,29,29,29,91,0,0,0,0,0,6.5,325,8,1000,0,100,0,0,0,0,HABITAT,0,0,0,490948,4016680,8/12/2012,13:43:00
153,x,GENERAL,28.5,28.5,27,91,0,100,0,0,240,0.9,66,0,1000,0,100,0,5,0,0,HABITAT,0,0,0,491453,4016371,8/12/2012,14:04:00
154,x,GENERAL,29,29,27,79,100,0,0,0,0,6.5,1.9,7,1000,0,100,0,3,0,0,HABITAT,0,0,0,491915,4016160,8/12/2012,14:19:00
155,x,GENERAL,27,27,30,80,100,0,0,0,0,11,100,0,0,5,70,30,0,0,0,HABITAT,0,0,0,492540,4015876,8/12/2012,14:36:00
156,x,GENERAL,29,29,28,93,0,0,30,0,0,7,127,8.5,1000,0,0,0,0,0,70,HABITAT,0,0,0,492540,4015876,8/12/2012,14:50:00
158,x,GENERAL,27.5,27.5,30.5,96,5,5,2,0,2000,118,81.1,118,550,0,100,0,10,2,50,HABITAT,0,0,0,491836,4016175,6/18/2012,13:25:00
159,x,GENERAL,31,31,28.5,92,5,95,0,0,0,17.4,0,16,1000,0,100,0,0,0,0,HABITAT,0,0,0,491834,4016174,6/18/2012,13:30:00
160,x,GENERAL,25,25,26,90,0,0,40,0,600,43,0,0,0,2,40,60,0,0,0,HABITAT,0,0,0,491257,4016503,7/20/2012,10:50:00
161,x,GENERAL,27,27,28.5,50,60,0,10,30,0,15.5,0,24,390,0,100,0,0,0,0,HABITAT,0,0,0,491258,4016491,6/7/2012,12:19:00
162,x,GENERAL,27,27,28.5,50,60,0,10,30,0,15.5,0,24,390,0,100,0,0,0,0,HABITAT,0,0,0,491258,4016491,6/7/2012,12:19:00
163,x,GENERAL,27,27,28.5,50,60,0,10,30,0,15.5,0,24,390,0,100,0,0,0,0,HABITAT,0,0,0,491258,4016491,6/7/2012,12:19:00
164,x,GENERAL,26,26,28,94,90,0,5,5,0,32,0,34,0,5,95,5,5,0,0,HABITAT,0,0,0,491345,4016530,8/3/2012,12:49:00
165,x,GENERAL,23,25.5,24.5,10,0,0,0,0,0,39,0,39,0,79,0,100,0,100,0,HABITAT,0,0,0,491333,4016232,8/17/2012,13:58:00
166,x,GENERAL,27,27,27,87,20,80,0,0,97,3,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,492431,4015914,8/3/2012,10:40:00
167,x,GENERAL,24,24,24,89,35,25,0,0,0,2,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,492493,4015884,8/3/2012,10:18:00
168,x,GENERAL,25,25,26,77,0,100,0,0,0,3.5,50,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,492452,4015913,8/3/2012,10:30:00
169,x,GENERAL,23,23,22,84,10,90,0,0,0,2,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491155,4016549,8/12/2012,11:05:00
170,x,GENERAL,29,29,29.5,83,100,0,0,0,190,4,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491675,4016263,8/3/2012,11:54:00
171,x,GENERAL,20.5,20.5,20,86,60,38,2,0,300,2,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,492485,4015895,8/12/2012,9:30:00
172,x,GENERAL,21,21,20.5,81,60,20,0,0,0,12,0,6,1000,0,100,0,0,0,0,HABITAT,0,0,0,492245,4016016,8/12/2012,10:00:00
173,x,GENERAL,23,23,26,86,20,40,0,0,0,2.7,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491155,4016549,8/12/2012,11:20:00
174,x,GENERAL,23.5,23.5,25,73,50,50,0,0,0,3.6,6,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,490786,4016782,8/12/2012,11:53:00
175,x,GENERAL,27,27,30.5,94,0,10,0,0,0,30.7,0,0,1000,0,100,0,100,0,0,HABITAT,0,0,0,491821,4016178,6/18/2012,13:10:00
176,x,GENERAL,25.5,25.5,28,89,0,0,0,0,0,33,0,0,111,0,100,0,0,0,0,HABITAT,0,0,0,491262,4016504,8/15/2012,12:24:00
177,x,GENERAL,22,23,23,93,0,95,0,0,5.5,9,87,9,103,0,100,0,0,0,0,HABITAT,0,0,0,491282,4016281,9/20/2012,11:19:00
178,x,GENERAL,22,23,23,95,0,80,0,0,8,10,0,11,750,0,100,0,20,0,0,HABITAT,0,0,0,491301,4016287,9/20/2012,11:25:00
179,x,GENERAL,22,22.5,23,99,0,98,0,0,625,14,255,0,910,0,100,0,2,0,0,HABITAT,0,0,0,491314,4016306,9/20/2012,11:28:00
180,x,GENERAL,22,24,23,75,0,90,0,0,1000,10,125,0,1000,0,100,0,10,0,0,HABITAT,0,0,0,491306,4016320,9/20/2012,11:32:00
181,x,GENERAL,21,22,23.5,97,0,20,0,0,1500,18,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491300,4016534,9/20/2012,11:36:00
182,x,GENERAL,20,21,24,89,0,10,0,0,0,14,59,16,1000,0,100,0,0,0,90,HABITAT,0,0,0,491276,4016342,9/20/2012,11:40:00
183,x,GENERAL,20,20,24,71,0,0,0,0,0,15,80,26,0,7,0,100,0,0,0,HABITAT,0,0,0,491292,4016265,9/20/2012,12:05:00
184,x,GENERAL,20,26,24.5,13,0,0,0,0,0,18,155,18,0,41,0,100,0,100,0,HABITAT,0,0,0,491304,4016254,9/20/2012,12:11:00
185,x,GENERAL,17,22,24.5,29,0,0,0,0,0,14,75,14,0,24,0,100,0,100,0,HABITAT,0,0,0,491289,4016254,9/20/2012,12:15:00
186,x,GENERAL,23,25,24,15,0,0,0,0,0,41,355,0,0,12,30,70,0,70,0,HABITAT,0,0,0,491279,4016259,9/20/2012,12:20:00
187,x,GENERAL,26,27,24,0,0,0,0,0,0,0,1000,0,0,61,0,100,0,0,0,HABITAT,0,0,0,491131,4016267,9/20/2012,12:33:00
188,x,GENERAL,20,27,24,0,0,0,0,0,0,0,1000,0,0,46,0,100,0,0,0,HABITAT,0,0,0,491132,4016258,9/20/2012,12:38:00
189,x,GENERAL,21,27,24,0,0,0,0,0,0,59,250,0,0,40,0,100,0,0,0,HABITAT,0,0,0,491125,4016226,9/20/2012,12:45:00
190,x,GENERAL,23,24,33,88,0,0,5,0,271,32,190,33,0,31,0,100,0,95,0,HABITAT,0,0,0,491174,4016238,9/20/2012,12:49:00
191,x,GENERAL,25,31,31,23,0,0,100,0,0,69,209,0,0,75,0,100,0,100,0,HABITAT,0,0,0,491211,4016216,7/20/2012,11:54:00
192,x,GENERAL,27,31,36,4,0,0,100,0,0,30,408,0,0,37,0,100,0,100,0,HABITAT,0,0,0,491272,4016213,7/20/2012,12:25:00
193,x,GENERAL,27,34,37,57,0,0,90,10,0,24,0,24,0,58,0,100,10,90,0,HABITAT,0,0,0,491313,4016242,7/20/2012,12:51:00
194,x,GENERAL,23,23,24,78,0,0,0,0,1200,6.5,363,7,0,27.4,0,100,0,0,0,HABITAT,0,0,0,491320,4016264,7/20/2012,13:08:00
195,x,GENERAL,26,26,29,0,0,0,100,0,0,0,1000,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491206,4016328,7/20/2012,12:17:00
196,x,GENERAL,26,26,29,0,0,0,100,0,0,0,1000,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491122,4016043,8/8/2012,13:15:00
197,x,GENERAL,26,26,29,0,0,0,100,0,0,0,1000,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491164,4016217,8/8/2012,13:20:00
198,x,GENERAL,26,26,29,0,0,0,100,0,0,0,1000,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491088,4016047,8/8/2012,13:23:00
199,x,GENERAL,25,25,29,100,0,20,0,10,6.5,16,0,16,173,0,100,0,10,0,0,HABITAT,0,0,0,491060,4016075,8/8/2012,13:25:00
200,x,GENERAL,29,29,31,100,0,0,10,0,1200,16,439,22,453,0,100,0,20,0,70,HABITAT,0,0,0,491206,4016361,7/25/2012,10:33:00
201,x,GENERAL,23.5,23.5,32,48,0,0,90,0,0,75,464,36,0,15,10,90,0,90,0,HABITAT,0,0,0,491072,4016308,7/25/2012,11:29:00
202,x,GENERAL,23,23,30,37,0,0,80,20,100,8,0,8,0,33,80,20,20,20,0,HABITAT,0,0,0,491320,4016256,6/19/2012,9:55:00
203,x,GENERAL,26,26,34,67,0,0,0,20,490,14,0,15,0,33,20,80,20,0,0,HABITAT,0,0,0,491411,4016280,6/19/2012,11:50:00
204,x,GENERAL,26,26,31,85,0,0,30,0,250,21,150,21.9,0,37,40,60,0,30,0,HABITAT,0,0,0,491162,4016223,6/19/2012,12:30:00
205,x,GENERAL,29,29,29.5,83,100,0,0,0,190,4,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491168,4016230,6/19/2012,13:55:00
206,x,GENERAL,20.5,20.5,20,86,60,38,2,0,300,2,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491675,4016263,8/3/2012,11:54:00
207,x,GENERAL,21,21,20.5,81,60,20,0,0,0,12,0,6,1000,0,100,0,0,0,0,HABITAT,0,0,0,492485,4015895,8/12/2012,9:30:00
208,x,GENERAL,23,23,26,86,20,40,0,0,0,2.7,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,492245,4016016,8/12/2012,10:00:00
209,x,GENERAL,23.5,23.5,25,73,50,50,0,0,0,3.6,6,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491155,4016549,8/12/2012,11:20:00
210,x,GENERAL,27,27,30.5,94,0,10,0,0,0,30.7,0,0,1000,0,100,0,100,0,0,HABITAT,0,0,0,490786,4016782,8/12/2012,11:53:00
211,x,GENERAL,25.5,25.5,28,89,0,0,0,0,0,33,0,0,111,0,100,0,0,0,0,HABITAT,0,0,0,491821,4016178,6/18/2012,13:10:00
212,x,GENERAL,27,27,28.5,50,60,0,10,30,0,15.5,0,24,390,0,100,0,0,0,0,HABITAT,0,0,0,491262,4016504,8/15/2012,12:24:00
213,x,GENERAL,25,25,26,90,0,0,40,0,600,43,0,0,0,2,40,60,0,0,0,HABITAT,0,0,0,491257,4016503,7/20/2012,10:50:00
214,x,GENERAL,27,27,28.5,50,60,0,10,30,0,15.5,0,24,390,0,100,0,0,0,0,HABITAT,0,0,0,491258,4016491,6/7/2012,12:19:00
215,x,GENERAL,27,27,28.5,50,60,0,10,30,0,15.5,0,24,390,0,100,0,0,0,0,HABITAT,0,0,0,491258,4016491,6/7/2012,12:19:00
216,x,GENERAL,27,27,28.5,50,60,0,10,30,0,15.5,0,24,390,0,100,0,0,0,0,HABITAT,0,0,0,491258,4016491,6/7/2012,12:19:00
217,x,GENERAL,26,26,28,94,90,0,5,5,0,32,0,34,0,1,95,5,5,0,0,HABITAT,0,0,0,491345,4016530,8/3/2012,12:49:00
218,x,GENERAL,23,25.5,24.5,10,0,0,0,0,0,39,0,39,0,79,0,100,0,100,0,HABITAT,0,0,0,491333,4016232,8/17/2012,13:58:00
219,x,GENERAL,27,27,27,87,20,80,0,0,97,3,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,492431,4015914,8/3/2012,10:40:00
220,x,GENERAL,24,24,24,89,35,25,0,0,0,2,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,492493,4015884,8/3/2012,10:18:00
